"model_1"	"model_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"GROVER"	"GCN"	"RMSE"	" CYP2D6"	"scaffold"	3.13058210199886e-07	"ranksums"	"<0.05"
"GROVER"	"GIN"	"RMSE"	" CYP2D6"	"scaffold"	5.43359149466734e-05	"ranksums"	"<0.05"
"GROVER"	"  MolBERT"	"RMSE"	" CYP2D6"	"scaffold"	0.0492606674136038	"ranksums"	"<0.05"
"GROVER"	"GROVER"	"RMSE"	" CYP2D6"	"scaffold"	1	"ranksums"	">=0.05"
"   RF"	"   RF"	"RMSE"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
"   RF"	"   SVM"	"RMSE"	" CYP3A4"	"scaffold"	0.00133559142592683	"ranksums"	"<0.05"
"   RF"	"   XGBoost"	"RMSE"	" CYP3A4"	"scaffold"	0.0890916344277198	"ranksums"	">=0.05"
"   RF"	" RNN"	"RMSE"	" CYP3A4"	"scaffold"	9.67346153257431e-09	"ranksums"	"<0.05"
"   RF"	"GCN"	"RMSE"	" CYP3A4"	"scaffold"	0.487138031710019	"ranksums"	">=0.05"
"   RF"	"GIN"	"RMSE"	" CYP3A4"	"scaffold"	0.790147056174559	"ranksums"	">=0.05"
"   RF"	"  MolBERT"	"RMSE"	" CYP3A4"	"scaffold"	0.00147961889644207	"ranksums"	"<0.05"
"   RF"	"GROVER"	"RMSE"	" CYP3A4"	"scaffold"	9.44045721202458e-08	"ranksums"	"<0.05"
"   SVM"	"   RF"	"RMSE"	" CYP3A4"	"scaffold"	0.00133559142592683	"ranksums"	"<0.05"
"   SVM"	"   SVM"	"RMSE"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
"   SVM"	"   XGBoost"	"RMSE"	" CYP3A4"	"scaffold"	0.0443590716039318	"ranksums"	"<0.05"
"   SVM"	" RNN"	"RMSE"	" CYP3A4"	"scaffold"	0.000346457398898125	"ranksums"	"<0.05"
"   SVM"	"GCN"	"RMSE"	" CYP3A4"	"scaffold"	0.00745108688879847	"ranksums"	"<0.05"
"   SVM"	"GIN"	"RMSE"	" CYP3A4"	"scaffold"	0.00432549412299047	"ranksums"	"<0.05"
"   SVM"	"  MolBERT"	"RMSE"	" CYP3A4"	"scaffold"	0.678900536466896	"ranksums"	">=0.05"
"   SVM"	"GROVER"	"RMSE"	" CYP3A4"	"scaffold"	0.0059612885288648	"ranksums"	"<0.05"
"   XGBoost"	"   RF"	"RMSE"	" CYP3A4"	"scaffold"	0.0890916344277198	"ranksums"	">=0.05"
"   XGBoost"	"   SVM"	"RMSE"	" CYP3A4"	"scaffold"	0.0443590716039318	"ranksums"	"<0.05"
"   XGBoost"	"   XGBoost"	"RMSE"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
"   XGBoost"	" RNN"	"RMSE"	" CYP3A4"	"scaffold"	5.81880955960144e-07	"ranksums"	"<0.05"
"   XGBoost"	"GCN"	"RMSE"	" CYP3A4"	"scaffold"	0.43328979562189	"ranksums"	">=0.05"
"   XGBoost"	"GIN"	"RMSE"	" CYP3A4"	"scaffold"	0.236906642783316	"ranksums"	">=0.05"
"   XGBoost"	"  MolBERT"	"RMSE"	" CYP3A4"	"scaffold"	0.0760414758302434	"ranksums"	">=0.05"
"   XGBoost"	"GROVER"	"RMSE"	" CYP3A4"	"scaffold"	1.05414222608851e-05	"ranksums"	"<0.05"
" RNN"	"   RF"	"RMSE"	" CYP3A4"	"scaffold"	9.67346153257431e-09	"ranksums"	"<0.05"
" RNN"	"   SVM"	"RMSE"	" CYP3A4"	"scaffold"	0.000346457398898125	"ranksums"	"<0.05"
" RNN"	"   XGBoost"	"RMSE"	" CYP3A4"	"scaffold"	5.81880955960144e-07	"ranksums"	"<0.05"
" RNN"	" RNN"	"RMSE"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
" RNN"	"GCN"	"RMSE"	" CYP3A4"	"scaffold"	5.76683625810191e-08	"ranksums"	"<0.05"
" RNN"	"GIN"	"RMSE"	" CYP3A4"	"scaffold"	7.38550419509896e-08	"ranksums"	"<0.05"
" RNN"	"  MolBERT"	"RMSE"	" CYP3A4"	"scaffold"	5.78621818161149e-05	"ranksums"	"<0.05"
" RNN"	"GROVER"	"RMSE"	" CYP3A4"	"scaffold"	0.178501674863836	"ranksums"	">=0.05"
"GCN"	"   RF"	"RMSE"	" CYP3A4"	"scaffold"	0.487138031710019	"ranksums"	">=0.05"
"GCN"	"   SVM"	"RMSE"	" CYP3A4"	"scaffold"	0.00745108688879847	"ranksums"	"<0.05"
"GCN"	"   XGBoost"	"RMSE"	" CYP3A4"	"scaffold"	0.43328979562189	"ranksums"	">=0.05"
"GCN"	" RNN"	"RMSE"	" CYP3A4"	"scaffold"	5.76683625810191e-08	"ranksums"	"<0.05"
"GCN"	"GCN"	"RMSE"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
"GCN"	"GIN"	"RMSE"	" CYP3A4"	"scaffold"	0.744986300175643	"ranksums"	">=0.05"
"GCN"	"  MolBERT"	"RMSE"	" CYP3A4"	"scaffold"	0.0166168789678207	"ranksums"	"<0.05"
"GCN"	"GROVER"	"RMSE"	" CYP3A4"	"scaffold"	1.06700555570554e-06	"ranksums"	"<0.05"
"GIN"	"   RF"	"RMSE"	" CYP3A4"	"scaffold"	0.790147056174559	"ranksums"	">=0.05"
"GIN"	"   SVM"	"RMSE"	" CYP3A4"	"scaffold"	0.00432549412299047	"ranksums"	"<0.05"
"GIN"	"   XGBoost"	"RMSE"	" CYP3A4"	"scaffold"	0.236906642783316	"ranksums"	">=0.05"
"GIN"	" RNN"	"RMSE"	" CYP3A4"	"scaffold"	7.38550419509896e-08	"ranksums"	"<0.05"
"GIN"	"GCN"	"RMSE"	" CYP3A4"	"scaffold"	0.744986300175643	"ranksums"	">=0.05"
"GIN"	"GIN"	"RMSE"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
"GIN"	"  MolBERT"	"RMSE"	" CYP3A4"	"scaffold"	0.00745108688879847	"ranksums"	"<0.05"
"GIN"	"GROVER"	"RMSE"	" CYP3A4"	"scaffold"	5.38895483794356e-07	"ranksums"	"<0.05"
"  MolBERT"	"   RF"	"RMSE"	" CYP3A4"	"scaffold"	0.00147961889644207	"ranksums"	"<0.05"
"  MolBERT"	"   SVM"	"RMSE"	" CYP3A4"	"scaffold"	0.678900536466896	"ranksums"	">=0.05"
"  MolBERT"	"   XGBoost"	"RMSE"	" CYP3A4"	"scaffold"	0.0760414758302434	"ranksums"	">=0.05"
"  MolBERT"	" RNN"	"RMSE"	" CYP3A4"	"scaffold"	5.78621818161149e-05	"ranksums"	"<0.05"
"  MolBERT"	"GCN"	"RMSE"	" CYP3A4"	"scaffold"	0.0166168789678207	"ranksums"	"<0.05"
"  MolBERT"	"GIN"	"RMSE"	" CYP3A4"	"scaffold"	0.00745108688879847	"ranksums"	"<0.05"
"  MolBERT"	"  MolBERT"	"RMSE"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
"  MolBERT"	"GROVER"	"RMSE"	" CYP3A4"	"scaffold"	0.00126853453938113	"ranksums"	"<0.05"
"GROVER"	"   RF"	"RMSE"	" CYP3A4"	"scaffold"	9.44045721202458e-08	"ranksums"	"<0.05"
"GROVER"	"   SVM"	"RMSE"	" CYP3A4"	"scaffold"	0.0059612885288648	"ranksums"	"<0.05"
"GROVER"	"   XGBoost"	"RMSE"	" CYP3A4"	"scaffold"	1.05414222608851e-05	"ranksums"	"<0.05"
"GROVER"	" RNN"	"RMSE"	" CYP3A4"	"scaffold"	0.178501674863836	"ranksums"	">=0.05"
"GROVER"	"GCN"	"RMSE"	" CYP3A4"	"scaffold"	1.06700555570554e-06	"ranksums"	"<0.05"
"GROVER"	"GIN"	"RMSE"	" CYP3A4"	"scaffold"	5.38895483794356e-07	"ranksums"	"<0.05"
"GROVER"	"  MolBERT"	"RMSE"	" CYP3A4"	"scaffold"	0.00126853453938113	"ranksums"	"<0.05"
"GROVER"	"GROVER"	"RMSE"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
"   RF"	"   RF"	"RMSE"	" MOR"	"scaffold"	1	"ranksums"	">=0.05"
"   RF"	"   SVM"	"RMSE"	" MOR"	"scaffold"	4.13418360782015e-08	"ranksums"	"<0.05"
"   RF"	"   XGBoost"	"RMSE"	" MOR"	"scaffold"	0.00126853453938113	"ranksums"	"<0.05"
"   RF"	" RNN"	"RMSE"	" MOR"	"scaffold"	1.39497313321881e-10	"ranksums"	"<0.05"
"   RF"	"GCN"	"RMSE"	" MOR"	"scaffold"	8.48722495644837e-10	"ranksums"	"<0.05"
"   RF"	"GIN"	"RMSE"	" MOR"	"scaffold"	9.44045721202458e-08	"ranksums"	"<0.05"
"   RF"	"  MolBERT"	"RMSE"	" MOR"	"scaffold"	6.26388824951319e-08	"ranksums"	"<0.05"
"   RF"	"GROVER"	"RMSE"	" MOR"	"scaffold"	4.49433148126392e-08	"ranksums"	"<0.05"
"   SVM"	"   RF"	"RMSE"	" MOR"	"scaffold"	4.13418360782015e-08	"ranksums"	"<0.05"
"   SVM"	"   SVM"	"RMSE"	" MOR"	"scaffold"	1	"ranksums"	">=0.05"
"   SVM"	"   XGBoost"	"RMSE"	" MOR"	"scaffold"	0.000292125950333414	"ranksums"	"<0.05"
"   SVM"	" RNN"	"RMSE"	" MOR"	"scaffold"	3.47852602805345e-05	"ranksums"	"<0.05"
"   SVM"	"GCN"	"RMSE"	" MOR"	"scaffold"	0.0527747206160589	"ranksums"	">=0.05"
"   SVM"	"GIN"	"RMSE"	" MOR"	"scaffold"	0.407711376645686	"ranksums"	">=0.05"
"   SVM"	"  MolBERT"	"RMSE"	" MOR"	"scaffold"	0.524952228275667	"ranksums"	">=0.05"
"   SVM"	"GROVER"	"RMSE"	" MOR"	"scaffold"	0.00569773419406551	"ranksums"	"<0.05"
"   XGBoost"	"   RF"	"RMSE"	" MOR"	"scaffold"	0.00126853453938113	"ranksums"	"<0.05"
"   XGBoost"	"   SVM"	"RMSE"	" MOR"	"scaffold"	0.000292125950333414	"ranksums"	"<0.05"
"   XGBoost"	"   XGBoost"	"RMSE"	" MOR"	"scaffold"	1	"ranksums"	">=0.05"
"   XGBoost"	" RNN"	"RMSE"	" MOR"	"scaffold"	3.05612809981639e-09	"ranksums"	"<0.05"
"   XGBoost"	"GCN"	"RMSE"	" MOR"	"scaffold"	2.4726070782097e-07	"ranksums"	"<0.05"
"   XGBoost"	"GIN"	"RMSE"	" MOR"	"scaffold"	0.000433677833506189	"ranksums"	"<0.05"
"   XGBoost"	"  MolBERT"	"RMSE"	" MOR"	"scaffold"	0.000749369214075594	"ranksums"	"<0.05"
"   XGBoost"	"GROVER"	"RMSE"	" MOR"	"scaffold"	4.26655443220908e-06	"ranksums"	"<0.05"
" RNN"	"   RF"	"RMSE"	" MOR"	"scaffold"	1.39497313321881e-10	"ranksums"	"<0.05"
" RNN"	"   SVM"	"RMSE"	" MOR"	"scaffold"	3.47852602805345e-05	"ranksums"	"<0.05"
" RNN"	"   XGBoost"	"RMSE"	" MOR"	"scaffold"	3.05612809981639e-09	"ranksums"	"<0.05"
" RNN"	" RNN"	"RMSE"	" MOR"	"scaffold"	1	"ranksums"	">=0.05"
" RNN"	"GCN"	"RMSE"	" MOR"	"scaffold"	0.00147961889644207	"ranksums"	"<0.05"
" RNN"	"GIN"	"RMSE"	" MOR"	"scaffold"	1.54799264802828e-06	"ranksums"	"<0.05"
" RNN"	"  MolBERT"	"RMSE"	" MOR"	"scaffold"	9.18087424269878e-07	"ranksums"	"<0.05"
" RNN"	"GROVER"	"RMSE"	" MOR"	"scaffold"	0.544407554012933	"ranksums"	">=0.05"
"GCN"	"   RF"	"RMSE"	" MOR"	"scaffold"	8.48722495644837e-10	"ranksums"	"<0.05"
"GCN"	"   SVM"	"RMSE"	" MOR"	"scaffold"	0.0527747206160589	"ranksums"	">=0.05"
"GCN"	"   XGBoost"	"RMSE"	" MOR"	"scaffold"	2.4726070782097e-07	"ranksums"	"<0.05"
"GCN"	" RNN"	"RMSE"	" MOR"	"scaffold"	0.00147961889644207	"ranksums"	"<0.05"
"GCN"	"GCN"	"RMSE"	" MOR"	"scaffold"	1	"ranksums"	">=0.05"
"GCN"	"GIN"	"RMSE"	" MOR"	"scaffold"	0.00375853192477805	"ranksums"	"<0.05"
"GCN"	"  MolBERT"	"RMSE"	" MOR"	"scaffold"	0.00190453216444955	"ranksums"	"<0.05"
"GCN"	"GROVER"	"RMSE"	" MOR"	"scaffold"	0.0919067004658575	"ranksums"	">=0.05"
"GIN"	"   RF"	"RMSE"	" MOR"	"scaffold"	9.44045721202458e-08	"ranksums"	"<0.05"
"GIN"	"   SVM"	"RMSE"	" MOR"	"scaffold"	0.407711376645686	"ranksums"	">=0.05"
"GIN"	"   XGBoost"	"RMSE"	" MOR"	"scaffold"	0.000433677833506189	"ranksums"	"<0.05"
