"prevalence"	"func_groups"	"mol_prop"
89.8095238095238	"fr_benzene"	"Lipop"
87	"fr_NH0"	"Lipop"
69.6428571428571	"fr_Ar_N"	"Lipop"
65.9285714285714	"fr_NH1"	"Lipop"
63.0238095238095	"fr_C_O"	"Lipop"
53.5714285714286	"fr_aniline"	"Lipop"
51.1666666666667	"fr_amide"	"Lipop"
45.3809523809524	"fr_ether"	"Lipop"
42.9047619047619	"fr_halogen"	"Lipop"
25.8333333333333	"fr_aryl_methyl"	"Lipop"
19.7857142857143	"fr_NH2"	"Lipop"
17.3333333333333	"fr_Ar_NH"	"Lipop"
16.8095238095238	"fr_methoxy"	"Lipop"
15.6428571428571	"fr_Ndealkylation2"	"Lipop"
13.2857142857143	"fr_Al_OH"	"Lipop"
11.0714285714286	"fr_COO"	"Lipop"
10.0952380952381	"fr_sulfonamd"	"Lipop"
10.0238095238095	"fr_ArN"	"Lipop"
9.42857142857143	"fr_Ndealkylation1"	"Lipop"
8.83333333333333	"fr_Ar_OH"	"Lipop"
